Treatment,Colony,Timepoint,Mites,Brood,Adults,Mass,Dead
CB,1,1,2.2,4514.4,5771.25,17.15,0
CB,2,1,1.82,10199.2,4981.5,NA,0
CB,3,1,2.26,13877.6,10023.75,13.38,0
C,4,1,NA,NA,NA,15.29,0
CB,5,1,1.18,13376,10813.5,15.01,0
CB,6,1,0.71,16051.2,8991,14.74,0
CB,7,1,NA,21736,19683,13.29,0
CB,8,1,1.4,18057.6,18832.5,13.83,0
CB,9,1,3.04,17723.2,23085,21.86,0
CB,10,1,0,21736,13851,16.42,0
CB,11,1,0.65,10700.8,10206,17.51,0
CB,12,1,1.53,10032,9598.5,16.78,0
CB,13,1,NA,2006.4,12757.5,13.29,0
CB,14,1,0.37,11369.6,10570.5,15.42,0
CB,15,1,NA,NA,NA,19.28,1
ST,16,1,2.45,14713.6,11542.5,13.7,0
CB,17,1,0.9,18726.4,16038,13.29,0
CB,18,1,3.95,24076.8,14701.5,14.38,0
ST,19,1,1.05,NA,NA,18.33,0
ST,20,1,1.88,NA,NA,13.65,0
ST,21,1,0.45,4681.6,8322.75,17.1,0
ST,22,1,5.35,7189.6,4131,16.06,0
ST,23,1,4.37,14379.2,11178,18.05,0
ST,24,1,0.41,19729.6,14094,16.92,0
ST,25,1,1.19,13710.4,11785.5,14.29,0
ST,26,1,2.13,8360,8383.5,18.78,0
ST,27,1,0.87,8192.8,8930.25,17.51,0
ST,28,1,NA,NA,NA,18.82,1
ST,29,1,0.37,8025.6,7350.75,15.33,0
ST,30,1,NA,7022.4,5832,17.06,0
ST,31,1,0.8,14044.8,10935,21.59,0
ST,32,1,0.86,10366.4,9355.5,13.38,0
ST,33,1,1.04,7691.2,9355.5,17.42,0
ST,34,1,0.71,19395.2,15795,16.47,0
ST,35,1,0.25,17388.8,16767,19.28,0
ST,36,1,NA,13041.6,16767,14.65,0
C,37,1,0,23742.4,21019.5,20.55,0
C,38,1,0.98,10032,12696.75,16.96,0
C,39,1,0.22,1504.8,3584.25,16.69,0
C,40,1,0.97,10533.6,12575.25,14.11,0
C,41,1,1.24,6855.2,15430.5,17.37,0
C,42,1,0.64,14713.6,12879,15.88,0
C,43,1,2.35,21401.6,13851,17.87,0
C,44,1,0,7858.4,6925.5,14.79,0
C,45,1,1.68,7858.4,8201.25,14.97,0
C,46,1,0.53,14713.6,10449,16.6,0
C,47,1,0.2,7691.2,7654.5,17.51,0
C,48,1,0.75,14713.6,13000.5,NA,0
C,49,1,2.2,7022.4,7168.5,NA,0
C,50,1,1.36,9697.6,10935,NA,0
C,51,1,3.76,9697.6,8748,NA,0
C,52,1,0.58,6688,6682.5,NA,0
C,53,1,0.4,13041.6,8505,NA,0
C,54,1,1.63,3678.4,9841.5,NA,0
CB,1,2,2.24,NA,NA,NA,0
CB,2,2,3.86,NA,NA,NA,0
CB,3,2,2.27,NA,NA,NA,0
C,4,2,NA,NA,NA,NA,0
CB,5,2,2.66,NA,NA,NA,0
CB,6,2,4.73,NA,NA,NA,0
CB,7,2,NA,NA,NA,NA,0
CB,8,2,3.98,NA,NA,NA,0
CB,9,2,8.59,NA,NA,NA,0
CB,10,2,0.58,NA,NA,NA,0
CB,11,2,3.73,NA,NA,NA,0
CB,12,2,3.54,NA,NA,NA,0
CB,13,2,NA,NA,NA,NA,1
CB,14,2,0.48,NA,NA,NA,0
CB,15,2,NA,NA,NA,NA,1
ST,16,2,2.08,NA,NA,NA,0
CB,17,2,1.56,NA,NA,NA,0
CB,18,2,3.37,NA,NA,NA,0
ST,19,2,3.54,NA,NA,NA,0
ST,20,2,2.59,NA,NA,NA,0
ST,21,2,2.06,NA,NA,NA,0
ST,22,2,2.49,NA,NA,NA,0
ST,23,2,1.62,NA,NA,NA,0
ST,24,2,3.11,NA,NA,NA,0
ST,25,2,20.04,NA,NA,NA,0
ST,26,2,3.95,NA,NA,NA,0
ST,27,2,0.55,NA,NA,NA,0
ST,28,2,NA,NA,NA,NA,1
ST,29,2,2.81,NA,NA,NA,0
ST,30,2,10.39,NA,NA,NA,0
ST,31,2,4.43,NA,NA,NA,0
ST,32,2,2.51,NA,NA,NA,0
ST,33,2,7.44,NA,NA,NA,0
ST,34,2,2.39,NA,NA,NA,0
ST,35,2,0.7,NA,NA,NA,0
ST,36,2,2.55,NA,NA,NA,0
C,37,2,1.6,NA,NA,NA,0
C,38,2,2.78,NA,NA,NA,0
C,39,2,5.11,NA,NA,NA,0
C,40,2,2.33,NA,NA,NA,0
C,41,2,8.45,NA,NA,NA,0
C,42,2,1.84,NA,NA,NA,0
C,43,2,8.17,NA,NA,NA,0
C,44,2,2.61,NA,NA,NA,0
C,45,2,8.67,NA,NA,NA,0
C,46,2,0,NA,NA,NA,0
C,47,2,6.42,NA,NA,NA,0
C,48,2,4.01,NA,NA,NA,0
C,49,2,0.9,NA,NA,NA,0
C,50,2,1.74,NA,NA,NA,0
C,51,2,10.25,NA,NA,NA,0
C,52,2,4.95,NA,NA,NA,0
C,53,2,3,NA,NA,NA,0
C,54,2,1.04,NA,NA,NA,0
CB,1,3,0.25,2675.2,4131,41.91,0
CB,2,3,1.46,7691.2,3037.5,35.56,0
CB,3,3,0.18,7022.4,8019,32.21,0
C,4,3,NA,9028.8,15795,35.29,0
CB,5,3,5.63,8025.6,12028.5,38.28,0
CB,6,3,5.39,10032,11542.5,38.01,0
CB,7,3,NA,5350.4,8505,43.18,0
CB,8,3,2.76,7022.4,NA,35.02,0
CB,9,3,2.17,19060.8,8626.5,33.48,0
CB,10,3,2.61,5016,3645,35.65,0
CB,11,3,5.09,6353.6,9598.5,55.79,0
CB,12,3,2.89,6688,15673.5,40.28,0
CB,13,3,NA,NA,NA,24.68,1
CB,14,3,0.96,6688,6561,41.46,0
CB,15,3,NA,NA,NA,NA,1
ST,16,3,0.2,6688,10084.5,42.64,0
CB,17,3,2.42,6019.2,11178,36.65,0
CB,18,3,3.05,8025.6,16888.5,43.09,0
ST,19,3,1.07,0,5103,36.65,0
ST,20,3,4.09,9363.2,16281,35.11,0
ST,21,3,4.75,4012.8,6196.5,31.48,0
ST,22,3,1.66,6353.6,6318,34.65,0
ST,23,3,7.98,13376,21627,43.82,0
ST,24,3,6.8,17054.4,20169,34.56,0
ST,25,3,1.91,0,12393,40.82,0
ST,26,3,4.8,8694.4,9112.5,35.74,0
ST,27,3,2,5350.4,6439.5,43,0
ST,28,3,NA,NA,NA,NA,1
ST,29,3,1.64,5350.4,6804,41.73,0
ST,30,3,11.27,5350.4,9112.5,44.54,0
ST,31,3,2.42,5684.8,9841.5,34.11,0
ST,32,3,2.89,4012.8,6682.5,43.91,0
ST,33,3,9.46,10032,9355.5,41.28,0
ST,34,3,1.81,6688,8869.5,47.17,0
ST,35,3,1.53,3344,5103,35.29,0
ST,36,3,NA,NA,NA,26.04,1
C,37,3,4.99,5684.8,6925.5,38.19,0
C,38,3,2.04,6688,10570.5,53.8,0
C,39,3,9.62,1337.6,729,29.94,0
C,40,3,2.93,3678.4,5589,41.1,0
C,41,3,7.23,1003.2,1458,37.47,0
C,42,3,6.78,5684.8,15552,49.67,0
C,43,3,1.79,8694.4,14094,37.56,0
C,44,3,1.74,4012.8,13365,50.17,0
C,45,3,2.82,7022.4,17739,44.72,0
C,46,3,0.87,5350.4,8505,45.45,0
C,47,3,14.38,3678.4,2551.5,36.56,0
C,48,3,7.17,5350.4,7654.5,47.9,0
C,49,3,5.82,3344,2794.5,35.11,0
C,50,3,2.96,8694.4,13851,44,0
C,51,3,11.79,2675.2,4252.5,36.83,0
C,52,3,1.3,8360,7897.5,37.29,0
C,53,3,1.77,6019.2,11785.5,40.01,0
C,54,3,1.64,7356.8,9841.5,44.72,0
